filename,Label,FileSize,Entropy,Imports_Count,Machine,SizeOfOptionalHeader,Characteristics,NumberOfSections,TimeDateStamp,MajorLinkerVersion,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,BaseOfCode,ImageBase,SectionAlignment,FileAlignment,MajorOperatingSystemVersion,SizeOfImage,SizeOfHeaders,CheckSum,Subsystem,DllCharacteristics,SizeOfStackReserve,SizeOfHeapCommit,NumberOfRvaAndSizes,Entropy_Mean,Entropy_Max,FileType
36f53eb7ea9e049ab589b69f748e4098be5f51577c3b881cf95d7928d19fe68d,1,32768,6.185275897844367,4,332,224,271,2,1338192760,6,0,31744,0,2400,1024,4194304,512,512,4,32768,1024,0,2,0,1048576,4096,16,3.250440578927857,6.326829255852479,PE32/64 (Valid)
AgentService.exe,0,888832,6.24171619716685,15,34404,240,34,7,4135054752,14,630784,258048,0,9792,4096,5368709120,4096,4096,10,892928,4096,901465,2,49504,524288,4096,16,3.934697748439473,6.307664852605789,PE32/64 (Valid)
dxgi.dll,0,1286488,6.181210954209984,47,34404,240,8226,10,1861212996,14,843776,434176,0,446880,4096,6442450944,4096,4096,10,1282048,4096,1320096,3,16736,262144,4096,16,3.3820369963971606,6.283212653042306,PE32/64 (Valid)
ActivationManager.dll,0,942080,6.253476479827625,57,34404,240,8226,8,3718080283,14,684032,258048,0,327600,4096,6442450944,4096,4096,10,946176,4096,973410,3,16736,262144,4096,16,3.565459899278721,6.182258800933199,PE32/64 (Valid)
d3d9on12.dll,0,774144,6.270582946567513,30,34404,240,8226,8,662289135,14,606208,188416,0,333696,4096,6442450944,4096,4096,10,798720,4096,775281,3,16736,262144,4096,16,2.9342133993316875,6.335798263678988,PE32/64 (Valid)
BitLockerWizardElev.exe,0,126976,6.096926634011309,5,34404,240,34,7,3363576825,14,8192,114688,0,4416,4096,5368709120,4096,4096,10,126976,4096,128930,2,49504,524288,4096,16,2.317262929414084,6.977488664910974,PE32/64 (Valid)
CloudExperienceHost.dll,0,677280,6.205236139728903,48,34404,240,8226,8,916733762,14,458752,208896,0,67920,4096,6442450944,4096,4096,10,671744,4096,680935,2,16736,262144,4096,16,3.3302040251058096,6.199015806078748,PE32/64 (Valid)
dnsrslvr.dll,0,687352,6.180918891843644,39,34404,240,8226,9,942818972,14,503808,167936,0,238080,4096,6442450944,4096,4096,10,675840,4096,716197,2,16736,262144,4096,16,3.4237357865645706,6.340100750102493,PE32/64 (Valid)
7d39126d6ed6dac39a23dcc0b9df6d0ae5124bb443489ab6e889f49cc1012e31,1,22528,5.421251902939334,5,332,224,271,3,1290045297,6,19968,2048,0,23536,4096,4194304,4096,512,4,32768,1024,83621,2,0,1048576,4096,16,4.742324991062572,5.391115542230302,PE32/64 (Valid)
BrokerLib.dll,0,217088,5.736542792200028,26,34404,240,8226,8,3557222137,14,143360,69632,0,101424,4096,6442450944,4096,4096,10,217088,4096,250212,3,16736,262144,4096,16,2.7270455852171835,6.001410401591455,PE32/64 (Valid)
25f3aa7489eccce3fdd84b62d0285885f413b1d9696a947842a1b5581f25816a,1,13312,5.854230998100201,6,332,224,271,3,1318581736,6,7680,4608,0,10822,4096,4194304,4096,512,4,20480,1024,0,2,0,1048576,4096,16,5.248036994379546,5.970904080100841,PE32/64 (Valid)
e0cb31bb04ceb2f5d64debdc60a312981ee4b57444d1cb8d0dcea271e8fd315c,1,14336,5.923979624495416,5,332,224,271,3,1253867956,6,11264,48640,0,14794,4096,4194304,4096,512,4,69632,1024,0,2,0,1048576,4096,16,4.506885369358954,6.0638235461524665,PE32/64 (Valid)
d3d11on12.dll,0,691520,6.245550665644512,31,34404,240,8226,8,3247571507,14,512000,180224,0,287296,4096,6442450944,4096,4096,10,696320,4096,706976,3,16736,262144,4096,16,3.1491560845602056,6.285973902364133,PE32/64 (Valid)
86f5f5e5ea9bdbfb8b139cd9bc22826cea431f347f54035c5bc7a3f315d5f2f7,1,17408,5.858848639286288,8,332,224,271,4,1233818041,6,9728,6656,0,13202,4096,4194304,4096,512,4,28672,1024,0,2,0,1048576,4096,16,4.647028568279084,6.186650498590433,PE32/64 (Valid)
CIRCoInst.dll,0,36864,2.24446762377966,3,34404,240,8226,7,3083420617,14,12288,20480,0,4752,4096,6442450944,4096,4096,10,36864,4096,40026,3,16736,262144,4096,16,1.3274780999116356,3.8851382923088646,PE32/64 (Valid)
AuthFWSnapin.dll,0,5550592,6.361701986657053,1,332,224,8226,3,2557336438,48,5548032,2048,0,5555674,8192,268435456,8192,512,4,5578752,512,5582086,3,34144,1048576,4096,16,3.1192165853126013,6.363047328594652,PE32/64 (Valid)
ece1610907c50cdeaf158d0ec13aa8b4aa31a8b831db8d3791da1e35296aa527,1,9852,5.066371872362305,8,332,224,271,4,1329981631,6,4096,6656,0,7592,4096,4194304,4096,512,4,20480,1024,0,2,0,1048576,4096,16,4.095082504980587,5.853755037224297,PE32/64 (Valid)
BthpanContextHandler.dll,0,217088,4.971374735115925,14,34404,240,8226,7,3323356176,14,86016,126976,0,10544,4096,6442450944,4096,4096,10,217088,4096,267329,2,16736,262144,4096,16,3.070407303080481,6.04149017032894,PE32/64 (Valid)
BingMaps.dll,0,8118272,6.208363253442515,51,34404,240,8226,7,2415908625,14,4644864,3493888,0,92192,4096,6442450944,4096,4096,10,8142848,4096,8159250,3,16736,262144,4096,16,4.141639464456138,6.339028219303927,PE32/64 (Valid)
ContactApis.dll,0,1056768,6.159852477181837,36,34404,240,8226,8,4027325827,14,733184,319488,0,312272,4096,6442450944,4096,4096,10,1056768,4096,1119787,3,16736,262144,4096,16,2.9673189461979925,6.19916829370929,PE32/64 (Valid)
23e687a00f3cf28d58a7d4c0476c3d6c4b0c1eff82286b412164f2798caec1ff,1,18432,6.096325981119973,6,332,224,8462,5,1233818422,6,10752,7168,0,14387,4096,268435456,4096,512,4,32768,1024,0,2,0,1048576,4096,16,4.972969930612363,6.205257971518264,PE32/64 (Valid)
